Town,            Population, Country,            Page, Lat_Deg, Lat_Min, Lat_Dir, Lon_Deg, Lon_Min, Lon_Dir
Betasa,          13970,      Ek'gakel,           343,  46,      15,      N,       5,       10,      W
Betido,          1749,       Kalamar,            321,  32,      5,       N,       1,       5,       W
Betkubagh,       589,        Tarisato,           326,  29,      10,      N,       3,       20,      E
B'fagido,        1393,       Pekal,              346,  42,      15,      N,       6,       20,      W
Bharr,           522,        Skarrna,            364,  44,      40,      N,       9,       15,      E
Bharr,           442,        Tharggy,            366,  42,      30,      N,       1,       0,       E
Bhijy,           2069,       Skarrna,            370,  42,      15,      N,       9,       20,      E
Bhirr,           1579,       Skarrna,            364,  43,      55,      N,       8,       30,      E
Bhirra,          1182,       Skarrna,            370,  42,      20,      N,       8,       50,      E
Bhiyd,           565,        Torakk,             357,  48,      55,      N,       2,       50,      E
Bhor,            639,        Drhokker,           357,  46,      25,      N,       4,       55,      E
Bhorkk,          364,        Drhokker,           357,  47,      35,      N,       4,       50,      E
Bhyr,            804,        Skarrna,            370,  42,      40,      N,       8,       50,      E
Bhyrkk,          442,        Torakk,             357,  48,      55,      N,       3,       40,      E
Bhythar,         797,        Drhokker,           365,  45,      5,       N,       11,      0,       E
Bibepidu,        593,        Kalamar,            322,  32,      30,      N,       1,       45,      E
Bid,             369,        Kalamar,            316,  36,      10,      N,       4,       5,       W
Bihawido,        2056,       Tokis,              313,  38,      20,      N,       1,       50,      W
Bih'gikido,      625,        Korak,              341,  45,      30,      N,       9,       50,      W
Biiresail,       421,        Fauteeforest,       378,  33,      0,       N,       6,       5,       E
Bika'ido,        1846,       Kalamar,            322,  32,      10,      N,       0,       25,      W
Bikidu,          520,        Dodera,             313,  37,      50,      N,       1,       25,      W
Bil,             368,        Kalamar,            317,  37,      15,      N,       3,       15,      W
Bilden,          774,        Mendarn,            304,  39,      30,      N,       15,      45,      W
Bilido,          1722,       Kalamar,            316,  35,      10,      N,       4,       20,      W
Bimod,           304,        Kalamar,            321,  33,      55,      N,       1,       10,      W
Binagh,          578,        Tarisato,           326,  30,      55,      N,       3,       5,       E
Bipidu,          755,        Paru'bor,           343,  44,      30,      N,       4,       10,      W
Birido,          965,        Pekal,              346,  41,      45,      N,       7,       15,      W
Birirelido,      6300,       Basir,              316,  35,      10,      N,       4,       25,      W
Birolasidu,      566,        Kalamar,            317,  35,      25,      N,       2,       45,      W
Bispven,         1760,       Cosdol,             285,  50,      5,       N,       14,      25,      W
Bisven,          1160,       Mendarn,            304,  39,      45,      N,       16,      25,      W
Bit,             391,        Basir,              320,  32,      50,      N,       5,       0,       W
Bithidu,         456,        Kalamar,            321,  33,      50,      N,       1,       20,      W
Bitit,           954,        Skarrna,            364,  43,      35,      N,       8,       30,      E
Bitunidu,        673,        Kalamar,            318,  36,      20,      N,       0,       25,      W
Bivido,          1132,       Kalamar,            318,  34,      40,      N,       0,       55,      E
Biyden,          343,        Labroldianislands,  308,  36,      0,       N,       19,      50,      W
Blasden,         818,        Eldor,              293,  44,      45,      N,       18,      55,      W
Blavlven,        1218,       Eldor,              299,  42,      20,      N,       15,      25,      W
Blayven,         1688,       Pelbrolenon,        309,  36,      20,      N,       15,      10,      W
Blebden,         427,        Mendarn,            307,  37,      0,       N,       20,      10,      W
Blerden,         616,        Cosdol,             290,  48,      5,       N,       13,      30,      W
Blihden,         463,        Eldor,              293,  44,      5,       N,       17,      55,      W
Blilden,         629,        Eldor,              294,  45,      40,      N,       14,      50,      W
Blindden,        398,        Delnondrianislands, 296,  42,      50,      N,       23,      55,      W
Blipden,         560,        Mendarn,            303,  38,      45,      N,       17,      50,      W
Blivden,         442,        Eldor,              298,  43,      0,       N,       17,      50,      W
Blivrden,        479,        Cosdol,             285,  49,      50,      N,       13,      25,      W
Blocden,         840,        Mendarn,            303,  38,      50,      N,       17,      20,      W
Blolnden,        578,        Eldor,              300,  41,      0,       N,       14,      25,      W
Blonvven,        1781,       Pelbrolenon,        309,  36,      30,      N,       16,      45,      W
Blospden,        325,        Delnondrianislands, 297,  41,      40,      N,       22,      10,      W
Bloyden,         408,        Mendarn,            303,  38,      15,      N,       18,      15,      W
Blurlven,        936,        Labroldianislands,  308,  35,      45,      N,       19,      30,      W
Bluspven,        915,        Mendarn,            308,  36,      55,      N,       19,      25,      W
Bofidu,          437,        Kalamar,            321,  34,      5,       N,       1,       20,      W
Bohazh,          460,        Tarisato,           326,  29,      30,      N,       3,       45,      E
Boivi,           RUINS,      Counaiheights,      368,  37,      25,      N,       3,       45,      E
Bokkazh,         500,        Ul-Karg,            406,  28,      0,       N,       18,      20,      W
Bolnden,         320,        Mendarn,            304,  37,      45,      N,       17,      5,       W
Bolnidu,         665,        Korak,              341,  43,      50,      N,       10,      0,       W
Bolnven,         1276,       Cosdol,             290,  48,      5,       N,       14,      25,      W
Bomidu,          468,        Ek'gakel,           343,  45,      35,      N,       4,       45,      W
Bondden,         559,        Eldor,              299,  40,      45,      N,       15,      55,      W
Boninido,        763,        Tokis,              312,  40,      10,      N,       3,       45,      W
Bopuhidu,        842,        Kalamar,            319,  36,      25,      N,       2,       20,      E
Borathidu,       574,        Tokis,              312,  39,      50,      N,       4,       5,       W
Borr,            536,        Drhokker,           364,  45,      50,      N,       7,       55,      E
Bothika'idu,     493,        Kalamar,            321,  33,      0,       N,       0,       50,      W
Bottkethvazh,    454,        Ul-Karg,            407,  28,      15,      N,       16,      20,      W
Bovidu,          537,        Kalamar,            318,  35,      0,       N,       0,       25,      E
Boworidu,        576,        O'par,              348,  41,      45,      N,       0,       50,      E
Braldden,        832,        Eldor,              298,  42,      50,      N,       17,      45,      W
Brandden,        573,        Eldor,              299,  42,      45,      N,       16,      10,      W
Brasden,         559,        Mendarn,            303,  37,      55,      N,       18,      0,       W
Braspden,        490,        Mendarn,            304,  40,      5,       N,       15,      20,      W
Brebven,         1426,       Eldor,              293,  44,      10,      N,       18,      5,       W
Brefden,         631,        Mendarn,            304,  39,      50,      N,       14,      45,      W
Brehden,         535,        Cosdol,             290,  47,      10,      N,       14,      30,      W
Brehden,         419,        Eldor,              298,  42,      40,      N,       17,      30,      W
Brenden,         747,        Cosdol,             285,  50,      0,       N,       13,      10,      W
Breven,          5000,       Mendarn,            304,  39,      50,      N,       15,      0,       W
Breyden,         813,        Pelbrolenon,        309,  37,      0,       N,       15,      25,      W
Brhufagh,        1334,       Ul-Karg,            399,  28,      55,      N,       15,      15,      W
Bridden,         633,        Elosdesert,         311,  39,      0,       N,       7,       40,      W
Brildven,        1199,       Eldor,              293,  43,      35,      N,       17,      20,      W
Brinden,         375,        Labroldianislands,  308,  36,      5,       N,       19,      35,      W
Brivden,         473,        Pelbrolenon,        309,  36,      10,      N,       15,      35,      W
Broldden,        440,        Eldor,              294,  44,      25,      N,       17,      10,      W
Bronden,         846,        Elosdesert,         350,  35,      40,      N,       9,       35,      W
Bronish,         8000,       Bronish,            397,  31,      5,       N,       20,      30,      W
Bronven,         4400,       Eldor,              299,  42,      30,      N,       16,      40,      W
Bronvven,        964,        Eldor,              294,  46,      0,       N,       17,      0,       W
Brornden,        323,        Mendarn,            303,  37,      55,      N,       18,      35,      W
B'sidu,          736,        Kalamar,            322,  32,      50,      N,       2,       10,      E
Bubido,          1530,       Tokis,              312,  39,      30,      N,       3,       35,      W
Buchidurr,       410,        Drhokker,           363,  45,      35,      N,       7,       0,       E
Budathisido,     936,        Dodera,             313,  38,      20,      N,       1,       35,      W
Budidu,          711,        Kalamar,            316,  36,      5,       N,       3,       50,      W
Buenaa,          760,        Reanaariabay,       372,  39,      45,      N,       6,       25,      E
Bugekekidu,      652,        Kalamar,            317,  34,      55,      N,       1,       55,      W
Bugido,          1657,       Basir,              316,  34,      40,      N,       4,       45,      W
Bugido,          2667,       Kalamar,            320,  33,      35,      N,       3,       25,      W
Buhidu,          507,        Kalamar,            323,  32,      5,       N,       3,       20,      E
Buladidu,        756,        Ek'kasel,           346,  42,      35,      N,       7,       55,      W
Bulagido,        1104,       P'bapar,            337,  46,      45,      N,       10,      5,       W
Bularen,         647,        Ek'gakel,           342,  45,      40,      N,       7,       30,      W
Bulasven,        1407,       P'bapar,            337,  46,      45,      N,       10,      15,      W
Bulidu,          827,        Kalamar,            318,  35,      35,      N,       0,       40,      E
Bulividu,        460,        P'bapar,            337,  47,      5,       N,       9,       50,      W
Buliwido,        1169,       Ek'gakel,           343,  45,      30,      N,       4,       40,      W
Bumritagh,       1369,       Tarisato,           329,  27,      55,      N,       4,       20,      E
Bumuridu,        665,        Kalamar,            317,  37,      5,       N,       1,       30,      W
Bunidu,          785,        Kalamar,            323,  32,      55,      N,       2,       35,      E
Burdden,         525,        Mendarn,            304,  40,      15,      N,       15,      35,      W
Bureka'idu,      431,        Kalamar,            317,  37,      40,      N,       0,       30,      W
Burkk,           566,        Tharggy,            366,  40,      50,      N,       1,       15,      E
Burlven,         1409,       Mendarn,            304,  38,      40,      N,       16,      50,      W
Burzumagh,       27548,      Ul-Karg,            399,  29,      10,      N,       17,      0,       W
Busilidu,        865,        Kalamar,            323,  31,      35,      N,       2,       25,      E
Buthidu,         734,        Kalamar,            321,  32,      25,      N,       1,       0,       W
Buvazh,          213,        Norga-Krangrel,     341,  43,      25,      N,       11,      30,      W
Buvden,          818,        Eldor,              294,  44,      10,      N,       15,      20,      W
Buwden,          676,        Mendarn,            303,  37,      35,      N,       19,      30,      W
Buwidu,          568,        Kalamar,            316,  35,      25,      N,       3,       50,      W
Buwidu,          497,        Basir,              320,  33,      35,      N,       5,       20,      W
Bybaf,           481,        Khydobandesert,     371,  40,      35,      N,       11,      15,      E
Byjej,           335,        Shynabyth,          340,  47,      50,      N,       1,       5,       W
Byjof,           338,        Shynabyth,          356,  47,      40,      N,       0,       5,       E
Byksha,          4900,       Shynabyth,          356,  46,      55,      N,       0,       10,      W
Bynarr,          19800,      Tharggy,            366,  41,      25,      N,       1,       20,      E
Byshof,          469,        Thybaj,             367,  41,      55,      N,       3,       55,      E
Byshynth,        423,        Shynabyth,          361,  46,      10,      N,       1,       25,      E
Bysler,          396,        Shynabyth,          356,  46,      45,      N,       0,       45,      E
Bytoba,          376,        Labroldianislands,  307,  35,      20,      N,       20,      15,      W
Cabven,          905,        Eldor,              293,  43,      35,      N,       17,      35,      W
Caspden,         387,        Privbolsianislands, 307,  36,      40,      N,       20,      50,      W
Casven,          1437,       Eldor,              299,  42,      5,       N,       15,      45,      W
Cavrden,         331,        Korak,              341,  45,      35,      N,       10,      30,      W
Cavrden,         494,        Mendarn,            304,  38,      30,      N,       17,      10,      W
Ceoraiz,         452,        Reanaariabay,       372,  40,      5,       N,       6,       10,      E
Cerdven,         1868,       Eldor,              299,  43,      5,       N,       16,      10,      W
Cevrden,         1193,       Eldor,              293,  44,      25,      N,       18,      30,      W
Ceyven,          1754,       Eldor,              293,  45,      55,      N,       17,      45,      W
Chobyth,         605,        Thybaj,             362,  43,      55,      N,       4,       20,      E
Chodasa,         623,        Privbolsianislands, 306,  36,      10,      N,       24,      20,      W
Chojy,           419,        Shynabyth,          361,  46,      10,      N,       0,       35,      E
Chokyj,          455,        Thybaj,             368,  39,      30,      N,       4,       25,      E
Choshyr,         461,        Thybaj,             367,  42,      10,      N,       4,       20,      E
Ciangria,        522,        Nanakaryforest,     373,  38,      10,      N,       9,       10,      E
Cicden,          317,        Delnondrianislands, 296,  42,      15,      N,       25,      0,       W
Cilorealon,      9900,       Kalalaliforest,     343,  44,      5,       N,       5,       30,      W
Cindven,         1958,       Mendarn,            304,  40,      5,       N,       17,      15,      W
Coeludo,         1115,       Fauteepeninsula,    381,  31,      15,      N,       6,       30,      E
Cosolen,         39100,      Cosdol,             289,  47,      0,       N,       15,      10,      W
Cralden,         535,        Mendarn,            304,  39,      10,      N,       16,      35,      W
Crandolen,       18100,      Cosdol,             289,  47,      30,      N,       16,      50,      W
Crandon,         1225,       Elosdesert,         311,  39,      5,       N,       7,       45,      W
Craspden,        677,        Eldor,              294,  44,      45,      N,       15,      35,      W
Cravrden,        419,        Eldor,              294,  45,      15,      N,       17,      5,       W
Crawden,         417,        Eldor,              294,  45,      25,      N,       15,      45,      W
Crehden,         386,        Mendarn,            304,  39,      20,      N,       15,      25,      W
Crenolm,         1621,       Pekal,              347,  41,      35,      N,       4,       20,      E
Criven,          1237,       Eldor,              298,  42,      55,      N,       17,      35,      W
Crizden,         841,        Mendarn,            308,  36,      50,      N,       19,      40,      W
Crizven,         1424,       Eldor,              299,  41,      10,      N,       15,      40,      W
Crolden,         540,        Elosdesert,         350,  35,      35,      N,       9,       35,      W
Croldven,        1016,       Eldor,              294,  43,      45,      N,       17,      5,       W
Crolven,         1602,       Eldor,              293,  43,      20,      N,       18,      10,      W
Crolven,         1768,       Pelbrolenon,        309,  36,      35,      N,       15,      50,      W
Crotven,         1024,       Pelbrolenon,        309,  36,      50,      N,       15,      50,      W
Crufden,         349,        Labroldianislands,  308,  36,      10,      N,       19,      25,      W
Crugven,         1347,       Mendarn,            303,  39,      5,       N,       17,      40,      W
Cumden,          522,        Eldor,              299,  40,      35,      N,       15,      35,      W
Cunvden,         870,        Cosdol,             289,  47,      40,      N,       14,      45,      W
Cuoviguor,       700,        Fauteepeninsula,    378,  32,      20,      N,       5,       40,      E
Curdven,         962,        Eldor,              294,  45,      50,      N,       15,      0,       W
Cusden,          455,        Eldor,              299,  40,      35,      N,       16,      0,       W
Cuziteur,        432,        Asiotuxooislands,   375,  34,      40,      N,       5,       5,       E
Dadal,           496,        Privbolsianislands, 307,  36,      10,      N,       22,      40,      W
Dadan,           466,        Khydobandesert,     373,  39,      35,      N,       10,      20,      E
Dadraf,          551,        Khydobandesert,     370,  40,      35,      N,       10,      35,      E
Dafiden,         483,        Korak,              341,  44,      30,      N,       10,      20,      W
Dagghepku,       460,        Ul-Karg,            398,  28,      55,      N,       17,      25,      W
Dahidu,          505,        Tokis,              312,  38,      0,       N,       4,       15,      W
Daka'idu,        639,        Basir,              320,  33,      55,      N,       4,       55,      W
Dakido,          1785,       Ek'gakel,           343,  45,      50,      N,       5,       20,      W
Dakidu,          780,        Ek'kasel,           346,  43,      15,      N,       6,       45,      W
Dakyno,          5000,       Thybaj,             367,  43,      10,      N,       4,       35,      E
Dalaan,          444,        Privbolsianislands, 306,  36,      15,      N,       23,      5,       W
Daldven,         960,        Eldor,              293,  44,      5,       N,       18,      10,      W
Daleden,         650,        Pelbrolenon,        308,  36,      0,       N,       17,      45,      W
Dalen,           98100,      Eldor,              298,  42,      40,      N,       17,      35,      W
Dalenden,        386,        Elosdesert,         350,  35,      25,      N,       9,       0,       W
Dalmden,         446,        Cosdol,             285,  49,      40,      N,       13,      30,      W
Daloth,          426,        Drhokker,           358,  46,      15,      N,       7,       5,       E
Dalren,          548,        Elosdesert,         311,  39,      15,      N,       7,       5,       W
Dalven,          428,        Elosdesert,         311,  39,      45,      N,       8,       0,       W
Dandden,         848,        Eldor,              294,  45,      40,      N,       17,      5,       W
Daormia,         771,        Nanakaryforest,     373,  38,      0,       N,       8,       25,      E
Daresido,        6300,       Korak,              341,  45,      40,      N,       9,       15,      W
Darovetido,      1508,       Kalamar,            323,  31,      30,      N,       2,       40,      E
Dartrin,         691,        Drhokker,           363,  45,      35,      N,       7,       20,      E
Daruk,           11200,      ,                   344,  44,      10,      N,       0,       45,      W
Das,             289,        Tarisato,           326,  29,      50,      N,       2,       20,      E
Dasden,          403,        Cosdol,             285,  50,      55,      N,       13,      40,      W
Dasewido,        1240,       Kalamar,            322,  32,      20,      N,       0,       0,       W
Dashash,         1407,       Thybaj,             367,  40,      30,      N,       4,       20,      E
Dashysh,         398,        Shynabyth,          361,  45,      10,      N,       0,       25,      E
Dathidu,         582,        Kalamar,            318,  34,      45,      N,       0,       15,      E
Dawidu,          760,        Kalamar,            317,  35,      5,       N,       2,       50,      W
Dayolen,         13900,      Mendarn,            307,  36,      50,      N,       20,      25,      W
Dayven,          862,        Bronish,            397,  31,      5,       N,       20,      30,      W
Dedidu,          438,        Kalamar,            322,  34,      0,       N,       0,       0,       W
Defasoden,       462,        Privbolsianislands, 307,  36,      15,      N,       21,      30,      W
Defido,          574,        Korak,              342,  44,      0,       N,       8,       20,      W
Deg'dun,         397,        Kalamar,            322,  34,      0,       N,       0,       20,      E
Degidu,          761,        Kalamar,            322,  34,      5,       N,       2,       5,       E
Demaridu,        740,        Kalamar,            322,  32,      30,      N,       0,       45,      E
Denamido,        1432,       Kalamar,            321,  32,      40,      N,       1,       20,      W
Dep,             377,        Kalamar,            317,  36,      20,      N,       2,       40,      W
Depidu,          528,        P'bapar,            337,  47,      55,      N,       10,      5,       W
Depitidu,        645,        Kalamar,            321,  32,      10,      N,       1,       0,       W
Derkk,           1120,       Skarrna,            370,  42,      15,      N,       8,       5,       E
Derkk-Narr,      686,        Drhokker,           363,  46,      0,       N,       7,       45,      E
Deron,           679,        Slen,               340,  49,      10,      N,       1,       55,      W
Deroridu,        666,        P'bapar,            341,  46,      0,       N,       9,       50,      W
Despven,         1956,       Mendarn,            303,  37,      30,      N,       19,      35,      W
Dethido,         1273,       Pekal,              346,  42,      50,      N,       6,       55,      W
Dethyj,          409,        Slen,               340,  48,      40,      N,       1,       15,      W
Detoka'anido,    1229,       Kalamar,            325,  29,      55,      N,       1,       15,      E
Devggar,         378,        Skarrna,            363,  45,      5,       N,       6,       15,      E
Devthohzazh,     435,        Ul-Karg,            407,  28,      10,      N,       16,      50,      W
Dewido,          429,        Korak,              342,  44,      45,      N,       8,       45,      W
Dewido,          1668,       Ek'gakel,           343,  45,      10,      N,       4,       40,      W
Dewido,          2121,       Kalamar,            321,  33,      30,      N,       1,       20,      W
Dewven,          1476,       Mendarn,            308,  36,      50,      N,       19,      10,      W
Dherr,           393,        Drhokker,           358,  47,      5,       N,       6,       0,       E
Dhetharr,        1979,       Skarrna,            364,  43,      25,      N,       8,       20,      E
Dhorr,           383,        Tharggy,            367,  42,      20,      N,       3,       25,      E
Dibilidu,        564,        Kalamar,            322,  34,      15,      N,       0,       10,      W
Dibumidu,        623,        Paru'bor,           344,  45,      35,      N,       2,       35,      W
Didven,          1435,       Mendarn,            303,  38,      40,      N,       17,      45,      W
Digidu,          632,        Kalamar,            323,  31,      50,      N,       3,       5,       E
Diiven,          404,        Fauteeforest,       323,  33,      20,      N,       4,       50,      E
Dijishy,         6446,       Elosdesert,         305,  39,      5,       N,       12,      25,      W
Dikagh,          674,        Ul-Karg,            399,  29,      20,      N,       16,      40,      W
Dikidu,          663,        Paru'bor,           343,  44,      50,      N,       3,       55,      W
Dikokidu,        789,        Tarisato,           325,  29,      20,      N,       1,       50,      E
Dilidu,          647,        Dodera,             313,  37,      45,      N,       2,       10,      W
Dilpetagh,       1011,       Tarisato,           326,  29,      40,      N,       3,       35,      E
Dimeta,          1935,       Korak,              342,  44,      10,      N,       8,       45,      W
Dimidu,          527,        Paru'bor,           343,  45,      15,      N,       4,       20,      W
Din,             357,        Kalamar,            318,  35,      50,      N,       1,       10,      E
Dinerig'hido,    1163,       Ek'gakel,           342,  44,      55,      N,       6,       50,      W
Dinimeka'ido,    695,        Pekal,              346,  41,      40,      N,       7,       5,       W
Dipethidu,       621,        Tarisato,           326,  28,      45,      N,       2,       55,      E
Direvido,        1196,       Ek'gakel,           343,  46,      5,       N,       5,       15,      W
Dirocden,        690,        P'bapar,            337,  46,      25,      N,       10,      30,      W
Dirosipido,      486,        ,                   346,  41,      50,      N,       7,       30,      W
Dirpladen,       853,        Ek'gakel,           343,  45,      45,      N,       4,       0,       W
Disido,          788,        Tokis,              347,  40,      25,      N,       3,       45,      E
Dithefidu,       525,        Paru'bor,           344,  44,      50,      N,       1,       55,      W
Dithemidu,       716,        Paru'bor,           347,  42,      55,      N,       4,       10,      E
Diuzuor,         693,        Fauteepeninsula,    378,  32,      30,      N,       6,       20,      E
Divido,          2317,       Kalamar,            317,  37,      15,      N,       0,       45,      W
